"CBRE Group, Inc",CBRE,L,1/19,2/9,6,6.3,81.8,2.55,-1.81,7.13,5.83,8,30.80,1,-4.10,Y,https://seasonaltrader.com/host/History/Stocks.aspx?trade=209986526&service_id=3,https://seasonaltrader.com/Charts/Stocks/Weekly.aspx?trade=209986526&service_id=3,209986526,22
"CBRE Group, Inc",CBRE,L,1/19,2/10,6,6.3,81.8,2.55,-1.81,6.32,5.83,8,30.32,1,-4.10,Y,https://seasonaltrader.com/host/History/Stocks.aspx?trade=209986527&service_id=3,https://seasonaltrader.com/Charts/Stocks/Weekly.aspx?trade=209986527&service_id=3,209986527,22
"CBRE Group, Inc",CBRE,L,1/14,2/8,15,5.9,81.8,2.89,-2.19,6.18,7.99,8,39.37,1,-4.60,Y,https://seasonaltrader.com/host/History/Stocks.aspx?trade=210007033&service_id=3,https://seasonaltrader.com/Charts/Stocks/Weekly.aspx?trade=210007033&service_id=3,210007033,22
"CBRE Group, Inc",CBRE,L,1/18,2/8,6,5.8,81.8,2.12,-1.64,6.54,5.48,8,23.06,1,-3.41,Y,https://seasonaltrader.com/host/History/Stocks.aspx?trade=209986501&service_id=3,https://seasonaltrader.com/Charts/Stocks/Weekly.aspx?trade=209986501&service_id=3,209986501,22
"CBRE Group, Inc",CBRE,L,1/20,2/10,9,5.8,81.8,2.26,-1.76,6.01,6.62,8,25.34,1,-3.14,Y,https://seasonaltrader.com/host/History/Stocks.aspx?trade=209988889&service_id=3,https://seasonaltrader.com/Charts/Stocks/Weekly.aspx?trade=209988889&service_id=3,209988889,22
"CBRE Group, Inc",CBRE,L,1/17,2/5,6,5.7,81.8,2.08,-1.64,5.94,5.41,5,11.21,1,-3.21,Y,https://seasonaltrader.com/host/History/Stocks.aspx?trade=209986473&service_id=3,https://seasonaltrader.com/Charts/Stocks/Weekly.aspx?trade=209986473&service_id=3,209986473,22
"CBRE Group, Inc",CBRE,L,1/17,2/6,6,5.6,81.8,2.16,-1.74,6.65,5.94,8,23.98,1,-3.21,Y,https://seasonaltrader.com/host/History/Stocks.aspx?trade=209986474&service_id=3,https://seasonaltrader.com/Charts/Stocks/Weekly.aspx?trade=209986474&service_id=3,209986474,22
"CBRE Group, Inc",CBRE,L,1/19,2/8,6,5.6,81.8,2.24,-1.81,6.62,5.83,8,25.25,1,-4.10,Y,https://seasonaltrader.com/host/History/Stocks.aspx?trade=209986525&service_id=3,https://seasonaltrader.com/Charts/Stocks/Weekly.aspx?trade=209986525&service_id=3,209986525,22
"CBRE Group, Inc",CBRE,L,1/19,1/29,6,4.9,81.8,1.16,-1.07,3.02,3.26,5,12.11,2,-2.68,Y,https://seasonaltrader.com/host/History/Stocks.aspx?trade=209986515&service_id=3,https://seasonaltrader.com/Charts/Stocks/Weekly.aspx?trade=209986515&service_id=3,209986515,22
"CBRE Group, Inc",CBRE,L,1/15,2/9,15,4.8,81.8,2.57,-2.42,6.20,8.63,8,33.35,1,-5.58,Y,https://seasonaltrader.com/host/History/Stocks.aspx?trade=210007117&service_id=3,https://seasonaltrader.com/Charts/Stocks/Weekly.aspx?trade=210007117&service_id=3,210007117,22
"CBRE Group, Inc",CBRE,L,1/18,2/5,6,4.5,81.8,1.87,-1.87,5.61,5.72,5,11.42,1,-3.41,Y,https://seasonaltrader.com/host/History/Stocks.aspx?trade=209986498&service_id=3,https://seasonaltrader.com/Charts/Stocks/Weekly.aspx?trade=209986498&service_id=3,209986498,22
"CBRE Group, Inc",CBRE,L,1/24,2/1,9,4.5,81.8,0.85,-0.85,2.70,3.53,5,4.55,1,-1.40,Y,https://seasonaltrader.com/host/History/Stocks.aspx?trade=209989006&service_id=3,https://seasonaltrader.com/Charts/Stocks/Weekly.aspx?trade=209989006&service_id=3,209989006,22
"CBRE Group, Inc",CBRE,L,1/25,2/9,12,4.3,81.8,2.00,-2.11,5.38,6.59,5,23.10,1,-3.94,Y,https://seasonaltrader.com/host/History/Stocks.aspx?trade=209995500&service_id=3,https://seasonaltrader.com/Charts/Stocks/Weekly.aspx?trade=209995500&service_id=3,209995500,22
"CBRE Group, Inc",CBRE,L,1/15,2/8,15,4.2,81.8,2.27,-2.44,5.69,8.84,8,27.80,1,-5.58,Y,https://seasonaltrader.com/host/History/Stocks.aspx?trade=210007116&service_id=3,https://seasonaltrader.com/Charts/Stocks/Weekly.aspx?trade=210007116&service_id=3,210007116,22
"CBRE Group, Inc",CBRE,L,1/24,2/9,12,4.1,81.8,1.86,-2.03,5.21,6.53,8,22.40,1,-3.94,Y,https://seasonaltrader.com/host/History/Stocks.aspx?trade=209995492&service_id=3,https://seasonaltrader.com/Charts/Stocks/Weekly.aspx?trade=209995492&service_id=3,209995492,22
"CBRE Group, Inc",CBRE,L,1/19,2/5,6,3.9,81.8,2.05,-2.34,5.75,6.42,5,14.80,1,-4.10,Y,https://seasonaltrader.com/host/History/Stocks.aspx?trade=209986522&service_id=3,https://seasonaltrader.com/Charts/Stocks/Weekly.aspx?trade=209986522&service_id=3,209986522,22
"CBRE Group, Inc",CBRE,L,1/19,2/4,12,3.6,81.8,1.82,-2.27,6.02,5.96,5,13.53,1,-4.10,Y,https://seasonaltrader.com/host/History/Stocks.aspx?trade=209995182&service_id=3,https://seasonaltrader.com/Charts/Stocks/Weekly.aspx?trade=209995182&service_id=3,209995182,22
"CBRE Group, Inc",CBRE,L,1/19,2/4,6,3.5,81.8,1.82,-2.34,6.02,6.42,5,13.53,1,-4.10,Y,https://seasonaltrader.com/host/History/Stocks.aspx?trade=209986521&service_id=3,https://seasonaltrader.com/Charts/Stocks/Weekly.aspx?trade=209986521&service_id=3,209986521,22
"CBRE Group, Inc",CBRE,L,1/26,2/9,12,3.5,81.8,1.93,-2.50,4.97,8.06,8,25.02,1,-4.64,Y,https://seasonaltrader.com/host/History/Stocks.aspx?trade=209995574&service_id=3,https://seasonaltrader.com/Charts/Stocks/Weekly.aspx?trade=209995574&service_id=3,209995574,22
"CBRE Group, Inc",CBRE,L,1/24,2/8,12,3.4,81.8,1.55,-2.04,4.76,6.98,8,16.85,1,-3.94,Y,https://seasonaltrader.com/host/History/Stocks.aspx?trade=209995491&service_id=3,https://seasonaltrader.com/Charts/Stocks/Weekly.aspx?trade=209995491&service_id=3,209995491,22
"CBRE Group, Inc",CBRE,L,1/17,2/16,9,3.3,81.8,3.45,-4.73,9.62,5.57,9,40.85,2,-15.87,Y,https://seasonaltrader.com/host/History/Stocks.aspx?trade=209988773&service_id=3,https://seasonaltrader.com/Charts/Stocks/Weekly.aspx?trade=209988773&service_id=3,209988773,22
"CBRE Group, Inc",CBRE,L,1/24,2/7,12,3.1,81.8,1.56,-2.26,5.02,6.67,5,13.51,1,-3.94,Y,https://seasonaltrader.com/host/History/Stocks.aspx?trade=209995490&service_id=3,https://seasonaltrader.com/Charts/Stocks/Weekly.aspx?trade=209995490&service_id=3,209995490,22
"CBRE Group, Inc",CBRE,L,1/18,2/16,9,3.0,81.8,3.19,-4.73,9.21,5.57,9,36.21,2,-15.87,Y,https://seasonaltrader.com/host/History/Stocks.aspx?trade=209988813&service_id=3,https://seasonaltrader.com/Charts/Stocks/Weekly.aspx?trade=209988813&service_id=3,209988813,22
"CBRE Group, Inc",CBRE,L,1/20,2/4,12,2.8,81.8,1.64,-2.64,5.83,6.45,5,10.45,1,-4.07,Y,https://seasonaltrader.com/host/History/Stocks.aspx?trade=209995270&service_id=3,https://seasonaltrader.com/Charts/Stocks/Weekly.aspx?trade=209995270&service_id=3,209995270,22
"CBRE Group, Inc",CBRE,L,1/23,2/7,12,2.8,81.8,1.63,-2.59,5.29,7.21,5,12.33,1,-3.94,Y,https://seasonaltrader.com/host/History/Stocks.aspx?trade=209995467&service_id=3,https://seasonaltrader.com/Charts/Stocks/Weekly.aspx?trade=209995467&service_id=3,209995467,22
